一	百
结尾	开端 起始 开始 发端 开头 起初
结局	起局 开始 肇端
结巴	流利 流畅
结束	开头 开始 起始
结束	开始
结束语	开场白
结果	开始 缘故 缘由 原由 起初 原因
结舌杜口	辩才无碍
结舌瞠目	辩才无碍
结草之恩	九世之仇
结草衔环	过河拆桥
绕口令	顺口溜
绕指柔	百链钢
绕梁三日	聒噪一时
绕远儿	抄近儿
绕道儿	抄近儿
绘声写影	画虎不成
绘声状物	画虎不成
绘声绘色	枯燥无味 枯燥乏味 平淡无奇 不可言状
绘影绘声	不言不语
绘影绘神	画虎不成
给	要
给予	取得 丧失 接受 索取
绚丽	黯澹 暗淡 黯淡
绚烂	黯澹 暗淡 黯淡
络	经
络绎不绝	七零八落 门庭冷落 人迹罕至 门可罗雀
绝不相同	大同小异
绝世佳人	豹头环眼
绝世无双	不一而足
绝世超伦	溢竽充数
绝交	通好 缔交 建交 邦交 来往 结拜
绝代佳人	青面獠牙
绝伦超群	凡夫俗子
绝伦逸群	凡夫俗子
绝口不提	逢人便说
绝口不谈	辩才无碍
绝口不道	津津乐道
绝壁�岩	�迤平原
绝处逢生	走投无路
绝妙	丑陋 低装
绝对	如果 假如 相对
绝尘拔俗	溢竽充数
绝情	深情 迷恋
绝情反目	相敬如宾
绝情寡义	恩重如山
绝无仅有	司空见惯 寥寥无几 空前绝后 多如牛毛 见惯司空 三番五次 屡见不鲜 泛滥成灾 举不胜举
绝无仅有	独一无二
绝望	憧憬 盼望 有望 如愿 期待 期望 希望 奢望
绝裙而去	恋恋不舍
绝裾而去	恋恋不舍
绝路	生路 活路 出路
绝难一见	寥寥无几
绝难宽恕	代为说项
绞尽脑汁	不假思索
绞尽脑汁	不假思索 略加思索
统一	分裂
统一	对立 分歧 分裂 割据 散乱 分化 分散
统一行动	各从其志
统统	仅仅 少数
绠短汲深	大材小用
继	断
继往开来	不肖子孙 青黄不接 空前绝后
继往开来	承前启後
继日成功	付诸东流
继晷焚膏	饱食终日
继续	中断 罢休 中止 间歇 停止
继起者	先驱者
继踵接武	地广民稀
续	断
续	断 绝
绮丽	朴实 暗淡 朴素
绰有余力	爱莫能助
绰有余裕	左支右绌
绰约多姿	出乖露丑
绰绰有余	入不敷出
绰绰有余	鞭不及腹 鞭长莫及 寅吃卯粮 捉襟见肘 鞭长不及 入不敷出 衣不蔽体 百孔千疮 杯水舆薪 衣衫褴褛 杯水车薪
绳之以法	逍遥法外
绳床瓦灶	堆金积玉
绳愆纤缪	不能自拔
绳枢之士	凤子龙孙
绳枢之子	凤子龙孙
绳趋尺步	悖逆不轨
绳锯木断	虎头蛇尾
维护	损害 败坏 破格 颠覆 破坏 捣乱 危害
维持	更改 整顿 修复 革新 扰乱 改变 建设 破坏
绵延	中断 断续
绵里藏针	剑拔弩张
绵里藏针	剑拔弩张 心慈面软 色厉内荏
绷	松
绸人广众	人杰地灵
绽开	合拢 闭拢
绾	解
绿	红
绿林好汉	打家劫舍
绿水青山	穷山恶水
绿鬓朱颜	豹头环眼
缁	皑
缄口如瓶	冲口而出
缄口无言	侃侃而谈
缄口结舌	高谈阔论
缄默不言	辩才无碍
缅怀	忘记 忘却
缓	急
缓	急 疾
缓兵之计	兵贵神速
缓和	激烈 紧张 激化
缓急相助	孤立无援
缓急相济	孤立无援
缓慢	快速 麻利 立刻 陡然 连忙 骤然 快捷 飞驰 敏捷 湍急 飞快 急切 急剧 急速 迅速 紧急 赶快 赶紧 急促 马上 火速
缓步	奔跑 急步 快步
缓缓	忽忽 急速 匆匆 匆匆中
缓解	加剧 加重 加深
缔约	废约 解约
缔结	废止 取缔 废弃 废除
编	拆
缘木求鱼	海底捞针
缘由	结果 后果
缚鸡之力	�鼎之能
缝	拆
缠绕	解脱 散开 松开
缠绵	热心 亲热 亲切 热情 热烈
缠绵悱恻	激昂慷慨
缩	伸 胀
缩	胀
缩写本	繁本
缩农节食	大手大脚
缩减	增添 增加 扩充
缩头缩脑	挺身而出
缩小	扩充 扩大 延长 发展 夸大 放大 膨大
缩手缩脚	放开手脚
缩手缩脚	马不停蹄 随心所欲 无拘无束 大义凛然 落落大方 不拘小节 大刀阔斧 大摇大摆 优哉游哉 挺身而出 胆大妄为 大手大脚 放开手脚
缩短	增长 延长 伸长 拉长
缩衣节口	大手大脚
缩衣节食	滥吃滥用
缮甲厉兵	安寝无忧
缮甲治兵	安寝无忧
缴	收
缺	余
缺	余 全 欠
缺乏	不足 富有 充足 富余 充裕 宽裕 丰富 足够 实足 充分
缺勤	全勤 出工 出勤
缺吃少穿	丰衣足食
缺头少尾	包罗万象
缺字	余 全 欠
缺少	充足 齐备 富余 有余 多余 剩余
缺德少才	才高行洁
缺欠	性质 优点 富裕 充裕 习性 脾气 长处 亮点
缺点	性质 优点 成绩 习性 脾气 长处 亮点
缺衣乏食	饱食暖衣
缺衣少食	饱食暖衣
缺陷	性质 优点 美满 习性 完全 健全 脾气 长处 亮点
缺食无衣	饱食暖衣
罄其所有	慷慨好施
罄竹难书	丰功伟绩
网开一面	小肚鸡肠
网开一面	小肚鸡肠 心胸狭窄
网开三面	严刑峻法
罕言寡语	沉默寡言
罕闻骤见	层出不穷
罗掘一空	鼓腹而游
罗敷有夫	云英未嫁
罗罗��	爽爽快快
罚	奖 赏
罚	赏
罚不当罪	罪有应得
罢休	开始 不休 继续
罢免	录用 选举 委任 升迁 任用
罪	功
罪上加罪	立功赎罪
罪不容诛	功昭日月
罪大恶极	功昭日月
罪孽深重	罪不容诛
罪恶	功勋 正义 无辜
罪有应得	罚不当罪
罪该万死	罪不容诛
罪过	功劳 功绩
置之不理	却之不恭 刮目相看 关心备至 无微不至 念念不忘 另眼相看 却而不恭 必躬必亲 引人注目
置之度外	耿耿于怀
置之脑後	念念不忘
置于脑后	牵肠挂肚
置若罔闻	耿耿于怀
置若罔闻	聚精会神 刮目相看 拭目以待 如雷灌耳 耳濡目染 念念不忘 耿耿于怀 视而不见
置身事外	置身其中
置身其中	作壁上观
羊肠小径	康庄大道
羊肠小道	康庄大道
羊肠鸟道	康庄大道
羊质虎皮	浑金朴玉
美	丑
美	丑 恶
美不胜收	不堪入目 丑陋不堪 丑陋至极
美不胜收	百孔千疮
美中不足	十全十美
美丽	丑陋
美丽	难看 丑陋 黯淡 丑恶
美味佳肴	并日而食
美味可口	淡而无味
美好	糟糕 丑陋 丑恶
美如冠玉	豹头环眼
美德	恶习 劣行
美玉无瑕	白圭之玷
美男子	美女
美衣玉食	弊衣箪食
美观	难看 丑陋
美誉	丑名 恶评
美貌	难看 丑陋
美酒佳肴	村酒野蔬
美酒嘉肴	饮冰茹蘖
美食方丈	并日而食
美馔佳肴	山珍海味
羝羊挂棘	得心应手
羝羊触藩	得心应手
羞与为伍	引以为荣
羞愧	高傲 荣耀 骄傲 自大 自豪
羞涩	大方
羞答答	不害臊
羞辱	赤诚 光荣
羞辱门楣	光宗耀祖
羡慕	眼红 鄙视 憎恶 妒忌 嫌弃 忌妒 讨厌 嫉妒
群	干
群众	领导 骨干 个人 领袖 干部
群体	个体 落单
群威群胆	孤家寡人
群策群力	孤掌难鸣 一手包办 朋比为奸 独断独行 各自为政 闭门造车 一意孤行 三心二意 独断专行 单刀赴会 离心离德 一手遮天
群策群力	独断独行
群英荟萃	狐群狗党
群言堂	一言堂
群起而攻之	交口称赞
羽毛丰满	羽毛未丰
羽毛未丰	羽毛丰满
羽翼已成	羽毛未丰
翕	张
翘尾巴	夹尾巴
翘足而待	遥遥无期
翠绕珠围	淡妆素服
翦草除根	除疾遗类
翻云覆雨	全始全终 始终如一 始终不渝
翻云覆雨	虎头蛇尾
翻复无常	坚贞不渝
翻手为云	坚贞不渝
翻来覆去	简单明了
翻滚	静卧 平静
翻然悔恨	不能自拔
翻然悔悟	死不改悔
翻然悔过	不能自拔
翻然悟过	不能自拔
翻然改悔	不能自拔
翻然改悟	不能自拔
翻然改进	执迷不悟
翻覆无常	坚贞不渝
翻陈出新	安常袭故
翻黄倒皂	白黑分明
耀武扬威	弃甲曳兵
耀眼	微弱 暗淡
老	嫩 小 少 幼 新
老	少
老一辈	下一代
老于世故	半青半黄
老公公	老婆婆
老前辈	后生
老友云散	旧雨重逢
老大	少壮 妙龄
老大娘	老大爷
老大徒伤	后生可畏
老大无成	后生可畏
老大爷	老大娘
老天拔地	白发红颜
老头儿	老婆儿
老头子	老婆子
老奸巨滑	邪恶小人
老奸巨猾	正人君子
老奸巨猾	正人君子 诚心诚意 肝胆相照
老妇	少女 青娥
老婆儿	老头儿
老婆婆	老公公
老婆子	老头子
老实	扯谎
老实	调皮 刁顽 狡诈 油滑 顽恶 刁滑 奸诈 顽皮 狡猾 淘气 虚伪
老实巴交	吊儿郎当 惹是生非 吊尔郎当
老寿星	短命鬼
老年	华年 童年 中年 少年 青年
老年间	现而今
老式	新型 时式 新式
老弱残兵	精兵猛将
老当益壮	未老先衰
老当益壮，老马嘶风	未老先衰
老态龙钟	反老还童 血气方刚 老骥伏枥 鹤发童颜 老当益壮 风华正茂 徐娘半老 年轻力壮 半老徐娘 年富力强 童颜鹤发 生气勃勃 风韵犹存 返老还童
老态龙锺	返老还童
老成	轻佻 稚拙
老成持重	少不更事
老成练达	半青半黄
老成见到	半青半黄
老搭当	新伙伴
老搭档	新伙伴
老朽	少壮 新秀 少艾
老朽不用	后生可畏
老朽无用	马齿徒增
老树盘根	金蝉脱壳
老气横秋	朝气蓬勃
老气横秋	白发红颜 老成持重 飒爽英姿 生龙活虎 鹤发童颜 烂熳天真 老当益壮 生机勃勃 老骥伏枥 朝气蓬勃 生气勃勃 活泼可喜
老牛破车	江河日下
老着脸皮	不好意思
老练	稚嫩 幼稚 天真 生疏 稚拙
老练通达	半青半黄
老老实实	八面见光
老而弥坚	马齿徒增
老而无行	德高望重
老而益壮	未老先衰
老脸皮	抹不开
老脸皮厚	不好意思
老调重弹	花样翻新
老谋深算	全无智略
老豆腐	嫩豆腐
老迈龙钟	白发红颜
老马嘶风	未老先衰
老马识途	乳臭未干 少不更事 初出茅庐 暗中摸索 不知所以
老马识途	少不更事
老骥伏枥	老气横秋
考	妣
考验	免检 通过
耄耋之年	豆蔻年华
耍滑头	拼老命
耐人寻味	枯燥无味
耐人寻味	枯燥无味 平淡无味
耐心	急躁 厌烦
耐荫树种	不耐荫树种
耕种	荒废 收获
耗损	储存 积聚
耗费	节省 节约 积攒
耳听八方	不闻不问
耳濡目染	充耳不闻
耳濡目染	置若罔闻 充耳不闻
耳熟能详	前所未闻
耳目一新	陈腔滥调
耳聋眼瞎	耳聪目明
耳聋眼花	耳聪目明
耳聪目明	闭目塞听
耳软心活	固执己见
耳闻	目击 目睹
耳闻不如目见	道听途说
耳闻目睹	闭目塞听
耳闻目见	道路传闻
耳食之论	不刊之论
耳食之谈	不刊之论
耸膊成山	膀大腰圆
耻	荣
耻与为伍	明哲保身
耻笑	赞扬 赞颂 赞美
耻辱	光彩 名誉 光荣 荣誉 赤诚
耿介之士	市井庸愚
耿耿于怀	置若罔闻
耿耿于怀	置若罔闻 若无其事 不追既往 置之度外 无介于怀 九霄云外 不足为意
耿耿忠心	吃里爬外
耿耿於心	置之度外
耿耿於怀	九霄云外
聊以塞责	不遗余力
聊以自慰	怅然若失 若有所失 庸人自扰
聊以自慰	若有所失
聊胜于无	不胜枚举
职业	业余 休息 消遣
聒噪一时	绕梁三日
联合	对峙 分散 分裂 孤立 单独 排斥 分开
联系	脱节 分割 孤立 脱离
聘	辞
聚	分
聚	散
聚会	分散 解散
聚合	结合 分离 散开 拆散
聚拢	分散
聚拢	散开 分开 分散
聚敛无厌	分毫不取
聚沙成塔	独树不成林
聚精会神	心不在焉
聚精会神	置若罔闻 心神不定 心神恍惚 心不在焉 三心二意 跟魂不守舍 神不守舍 东张西望 漫不经心 魂不守舍
聚讼纷然	如出一口
聚讼纷纭	如出一口
聚讼纷纷	如出一口
聚集团聚	结合
聚�会神	魂不守舍
聪慧	痴呆 愚蠢 愚拙 笨钝
聪明	愚笨
聪明	笨拙
聪明人	笨家伙
聪明伶俐	土头土脑
聪明出众	笨头笨脑
聪明才智	冥顽不灵
聪明智慧	笨头笨脑
聪明盖世	笨头笨脑
聪明睿哲	笨头笨脑
聪明睿智	冥顽不灵
聪明睿达	笨头笨脑
聪明绝世	笨头笨脑
聪明过人	笨头笨脑
肃然起敬	不屑一顾 恨之入骨 令人齿冷 漠然置之 置之度外
肃然起敬	漠然置之
肆意为虐	安分守常
肆意妄为	安分守常
肆意横行	安分守常
肆无忌惮	投鼠忌器
肆行无忌	安分守常
肉中刺	掌上珠
肉乎乎	瘦刮刮
肉体	体魄 灵魂 躯壳 精神
肉头肉脑	槁项黄馘
肉山酒海	并日而食
肉林酒池	并日而食
肌瘦如柴	虎背熊腰
肘腋之患	疥癣之疾
肝心若裂	心花怒发
肝肠寸断	心花怒放
肝肠寸断	欣喜若狂 欢呼雀跃 欢欣鼓舞 欢喜若狂 拍手称快 心花怒放 乐不可支 喜气洋洋
肝肠寸裂	心花怒发
肝肠断裂	心花怒发
肝胆欲碎	心花怒发
肝胆涂地	草间活命
肝胆相向	暗斗明争
肝胆相照	披肝沥胆
肝胆相见	暗斗明争
肠肥脑满	大腹便便
肤浅	程度 透辟 深刻 精华 深厚 彻底 深奥 渊博 高深 精深 深邃 精湛 细致 深长
肤浅末学	登峰造极
肤皮潦草	严肃认真
肥	瘠 瘦 薄
肥	瘦
肥墩墩	瘦刮刮
肥壮	瘦弱 羸弱
肥大	窄小 瘦小
肥头大耳	尖嘴猴腮
肥头大面	槁项黄馘
肥头胖脑	槁项黄馘
肥沃	瘠薄 贫瘠 不毛 荒芜
肥油油	瘦刮刮
肥溜溜	瘦刮刮
肥田沃土	寸草不生
肥田沃地	不毛之地
肥美	瘠薄 贫瘠
肥肉厚酒	村酒野蔬
肥胖	消瘦 苗条 瘦削 干瘦 瘦弱 枯瘦
肥马轻裘	敝裘赢马
肯堂肯构	败业倾家
肺腑之交	半面之交
肺腑之言	情词恳切
肺腑之言	违心之论 花言巧语 甜言蜜语 心口不一 迷天大谎 欺人之谈 言不由衷 弥天大谎 言不由中 违心而论
肺腑之谈	恶言恶语
胀	缩
胁从	主谋 首恶 元凶
胁肩低眉	昂首天外
胁肩谄笑	刚正不阿
胆大包天	胆小如鼠
胆大如天	胆小怕事
胆大如斗	胆小如鼠
胆大妄为	前怕狼,后怕虎 胆小如鼠 临深履薄 谨小慎微 临深履冰 如履薄冰 缩手缩脚 谨言慎行 胆小怕事 如临深渊 战战兢兢 小心翼翼
胆大妄为	粗心大意
胆小如芥	胆大包天
胆小如鼠	胆大包天
胆小如鼷	胆大包天
胆小怕事	初生牛犊不怕虎
胆怯	胆壮 勇敢 大胆
胆战心惊	逍遥自在 满不在乎 镇定自若 怡然自得 处之泰然
背	向 尖 腹 面
背	面
背义忘恩	报本反始
背义负信	抱诚守真
背井离乡	叶落归根
背井离乡	安土重迁
背信弃义	骨肉相连
背信弃约	白纸黑字
背信忘义	抱诚守真
背光性	向光性
背包袱	放包袱
背叛	归降 忠实 忠心 归顺 忠诚
背后	正面 当面 前面
背向异辞	表里如一
背地里	表面上
背弃诺言	抱诚守真
背恩弃义	报本反始
背恩忘义	报本反始
背恩负义	报本反始
背惠食言	抱诚守真
背明投暗	背暗投明
背暗投明	不能自拔
背槽抛粪	报本反始
背水一战	重整旗鼓
背生芒刺	处之泰然
背盟忘约	白纸黑字
背盟毁约	白纸黑字
背盟败约	白纸黑字
背离	归附 遵照 遵循 遵从 趋附
背离乡井	安堵乐业
背私为公	饱其私囊
背紫腰金	抱关击柝
背约	守约 履约
背若芒制	处之泰然
背若芒刺	心怀舒畅
背道而驰	并肩前进
背靠背	面对面
背风坡	迎风坡
背风面	迎风面
背饥荒	
背饥荒	讨债
背饥荒	贷款
背饥荒	还款
胖	瘦
胖乎乎	瘦刮刮
胖嘟嘟	瘦刮刮
胖墩儿	搓板
胖墩墩	瘦刮刮
胖激激	瘦刮刮
胖鼓鼓	瘦刮刮
胜	负 败
胜	败
胜仗	败北 败仗 败阵
胜任愉快	一无所能
胜利	失败
胜利	挫折 败北 失败
胡作乱为	安分守常
胡作妄为	安分守常
胡作非为	安分守己
胡作非为	循规蹈矩 奉公守法 安分守己 秋毫无犯 谨言慎行 安分守纪 安贫乐道
胡卢大笑	粲然一笑
胡思乱想	清心寡�
胡思乱量	清简寡欲
胡搅蛮缠	通情达理
胡言乱道	称量而出
胡说乱道	称量而出
胡说八道	不见经传
胡说白道	称量而出
胶柱调瑟	乘机应变
胶漆之交	半面之交
胶漆相融	�芥相投
胸中无数	张皇失措
胸中有数	心中无数
胸怀坦白	心怀叵测
胸怀坦荡	包藏祸心
胸无城府	怀有鬼胎
胸无大志	志在四方
胸无点墨	博大精深 墨客骚人 着作等身 学富五车 才高八斗 博学多才 博古通今 骚人墨客 满腹经纶 饱学之士 八斗之才 读书破万卷 七步之才 腹饱万言 书通二酉 满腹珠玑 凿壁偷光 著作等身
胸无点墨	满腹经纶
胸有成竹	心中无数
胸襟坦荡	心怀叵测
胼手胝足	饱食终日
能力分班	常态分班
能士匿谋	�鹏得志
能屈能伸	宁折不弯
能工巧匠	酒囊饭袋
能干	笨拙 无能
能文善武	百无一能
能文能武	百无一能
能言会道	笨口拙舌
能言巧辩	能说会道
能言快语	闭口不谈
能言惯道	笨口拙舌
能言舌辩	笨口拙舌
能说会道	能言巧辩
能说善道	笨口拙舌
能说惯道	笨口拙舌
脆	韧
脆弱	刚强 坚强 顽强 坚韧
脆弱	坚强
脆弱	顽强
脉络分明	颠三倒四
脉脉含情	冷酷无情
脍炙人口	鲜为人知 平淡无味
脏	净
脑力劳动	体力劳动
脑满肠肥	骨瘦如柴
脑满肠肥	骨瘦如柴 形销骨立 两袖清风 鸠形鹄面
脚	头
脚	头 手
脚痛医脚	正本清源
脚踏实地	蜻蜓点水
脚踏实地	蜻蜓点水 空中楼阁 弄虚作假 白日做梦 腾云驾雾 好大喜功 望梅止渴 大吹大擂 浮而不实 纸上谈兵 好高骛远 冒险主义 想入非非 譁众取宠
脱	穿
脱口而出	守口如瓶
脱口而出	钳口结舌 守口如瓶 一言不发
脱离	结合 接触 联系 皈依
脱缰马	笼中鸟
脱胎换骨	顽固不化
脱险	蒙难 罹难 遇险
脱颖而出	怀才不遇
脱颖而出	怀才不遇 深藏若虚
脱�马	出柙虎
脸上生光	丢人现眼
脸上贴金	丢人现眼
脸皮厚	脸皮薄
脸皮薄	不害臊
脸软心慈	心黑手辣
脾气	共性 缺陷 缺欠 短处 缺点 毛病 劣点
腐朽	神奇 不朽 新鲜 新生
腐烂	鲜美 鲜活 新鲜
腐败	清廉 清明 新鲜 清新
腰缠万贯	囊空如洗
腰缠万贯	床头金尽 家徒四壁 贫无立锥 家徒壁立 囊中羞涩 不名一钱 两手空空 阮囊羞涩 贫无置锥 一名不文 宦囊羞涩 身无分文 别无长物 一文不名 囊空如洗 衣衫褴褛 不名一文 一贫如洗 身无长物
腰缠十万	富可敌国
腴	瘠
腹	背
腹心相照	暗斗明争
腹笥甚窘	不学无术
腹背受敌	各个击破
腾捷飞升	栖迟困抑
腾蛟起凤	碌碌无能
腾贵	低廉 上涨
腾达	没落 沦落
膀大腰圆	膀窄腰纤
膀窄腰纤	膀大腰圆
膀阔腰顸	膀窄腰纤
膏梁锦绣	弊衣箪食
膏粱文绣	弊衣箪食
膏粱纨绔	弊衣箪食
膏腴之地	不毛之地
膏腴之壤	不毛之地
膝下犹虚	儿女成行
膝痒搔背	对症下药
膨胀	收缩 萎缩
膻腥之气	兰麝之香
臃肿	轻盈 娇小 苗条 瘦削
臆断	研究 根据
臣	君
臧	否
自为阶级	自在阶级
自以为是	自愧不如 博采众长 虚怀若谷 博采众议 妄自菲薄 自暴自弃 低眉折腰 不耻下问 自惭形秽 自知之明 低眉顺眼
自作聪明	自知之明
自作自受	自找苦吃
自出机杼	袭人故智
自力更生	仰人鼻息
自力更生	越蛆代庖 傍人篱落 乐天知命 倚草附木 寄人篱下 依草附木 坐地求全 傍人门户 坐收渔利 不由自主 求亲靠友 坐享其成 仰人鼻息 越俎代庖 火中取栗 坐收其利 劳而无功
自动	劝诱 强迫 被动 被迫 他动
自卑	自负 自谦 谦逊 自大 自豪 自满 自傲 自信 虚心 自尊
自卑感	优越感
自发性	被动性
自取其祸	无妄之灾
自吹自擂	实事求是
自吹自擂	谦虚谨慎 实事求是 虚怀若谷
自告奋勇	无路请缨
自告奋勇	畏首畏尾 逼上梁山 踌躇不前 望而却步 畏缩不前 畏葸不前
自命不凡	自惭形秽
自圆其说	自相矛盾
自在	拘束
自在阶级	自为阶级
自大	自卑 谦虚 低调 羞愧 谦逊
自始至终	始终不渝
自始至终	朝三暮四 有头无尾 半上落下 有始无终 一曝十寒 朝四暮三 虎头蛇尾 半途而废
自尊自爱	自掘坟墓
自己	大伙 人家 对方 大家 外人 他人 别人
自己人	局外人
自强不息	自暴自弃
自强不息	自暴自弃 虚度年华 自轻自贱 心灰意懒
自强自力	城下之盟
自得其乐	忧天悯人 自找苦吃 自作自受 悲天悯人
自得其乐	自找苦吃
自怨自艾	自鸣得意
自恃	谦虚 虚心
自惭形秽	自命不凡
自愧弗如	自惭形秽
自愿	说服 劝诱 被迫 强制 强迫 勉强
自找苦吃	自作自受
自投罗网	死里逃生
自暴自弃	自强不息
自然人	法人
自然科学	社会科学
自甘堕落	力争上游
自甘雌伏	和衷共济
自由	拘谨
自由民	奴隶
自由王国	必然王国
自由诗	格律诗
自相残杀	同室操戈
自相残杀	和睦相处 戮力同心 同舟共济 同仇敌忾
自相矛盾	言行一致
自相鱼肉	生死与共
自知之明	非分之想
自私	大方 无私 慷慨
自私自利	大公无私
自立	依靠 依赖
自立门庭	自立门户
自立门户	寄人篱下
自给自足	仰给於人
自花传粉	异花传粉
自荐	推举 他荐 推荐 被荐
自行其是	随波逐流
自行灭亡	困兽犹斗
自行矛盾	言行相诡
自觉	盲目 被迫 被动
自觉性	被动性
自觉自愿	逼上梁山
自觉自愿	逼上梁山 情不由已 迫不得已
自谦	自负 吹牛 夸口 自卑 自满 自夸
自豪	自卑 自满 羞耻 羞愧 谦虚
自豪感	自卑感
自负	自卑 谦虚 矜持 自谦 谦逊
自费生	公费生
自轻自贱	自暴自弃
自顾不暇	舍己救人
自食其力	不劳而获 鞍前马后 寄人篱下 坐地求全 不稼不穑 坐收渔利 求亲靠友 坐享其成 城下之盟 火中取栗 坐收其利 劳而无功
自食其力	坐享其成
自馁	自强 自信
自高自大	发奋图强
自鸣得意	自怨自艾
臭	香
臭不可当	芳香扑鼻
臭不可闻	芳香扑鼻
臭乎乎	香馥馥
臭名昭彰	驰名天下
臭名昭着	名誉扫地
臭名昭著	大名鼎鼎
臭味相投	格格不入
臭气冲天	芳香扑鼻
臭气熏人	芳香扑鼻
臭气熏天	芳香扑鼻
臭烘烘	香喷喷
臭熏熏	香馥馥
至亲好友	酒肉朋友
至关紧要	无关宏旨
至关重要	不伤脾胃 不关紧要
至关重要	鸡毛蒜皮
至宝	草芥 赘疣
至当不移	不攻自破
至死不悟	顿悟前非
致人死地	治病救人
舌尖口快	笨口拙舌
舌敝唇焦	默默无语 一言不发
舌无留言	道路以目
舍	入
舍	取 得
舍不得	不惜
舍己为人	损人利己
舍己为公	损公肥私
舍己从人	各持己见
舍己就人	独持异议
舍己成人	乘人之厄
舍己救人	吃里爬外 爱莫能助 损人利己 自顾不暇
舍己救人	自顾不暇
舍弃	执著 保存 采用 请问执著 留恋
舍得一身剐，敢把皇帝拉下马	不敢越雷池一步
舍本逐末	逐本舍末 大处落墨 追根寻源 追本求源
舍正从邪	改邪反正
舍死忘生	贪生怕死
舍生取义	苟且偷生
舍生忘死	贪生怕死
舍身为国	草间活命
舍身取义	成仁成义
舍身存义	草间活命
舍身成义	草间活命
舍身成仁	草间活命
舍身求法	自私自利
舍近求远	事半功倍
舍近求远	近在咫尺 事半功倍
舍邪归正	不能自拔
舐糠及米	适可而止
舒	卷
舒坦	憋闭 难过
舒展	皱缩 委曲 收缩 委屈 蜷缩 萎缩 卷曲
舒畅	苦闷
舒畅	苦闷 惆怅 难过 忧闷 忧虑 抑郁 憋闷 沉闷 沉郁 烦闷 憋屈 郁闷
舒眉展眼	愁眉不展
舒缓	紧张 急促
舒舒适适	营营役役
舛误	正确 真理
舜日尧天	豺狼当道
舞文弄墨	刺枪使棒
舶来品	洋货
船到江心补漏迟	亡羊补牢犹未晚
艉	艏
艏	艉
艮	脆
良	劣
良久	俄顷 少顷 片刻 瞬息 短暂 转瞬 斯须
良史之才	不舞之鹤
良师益友	一丘之貉
良师益友	凶神恶煞 狐群狗党 一丘之貉
良朋益友	佞徒损友
良田	荒地 瘠土
良药苦口	花言巧语
良莠不一	百里挑一
良莠不分	黑白分明
良莠不齐	泾渭分明
良莠淆杂	比屋可封
良莠相混	白黑分明
良辰美景	月黑风高
艰涩	畅通 流畅
艰深	平易 通俗 浅近 浅易 浅显
艰苦	安逸 安适 舒适 舒服
艰苦卓绝	好逸恶劳
艰苦奋斗	花天酒地
艰苦朴素	刻苦奋斗
艰苦朴素	灯红酒绿 穷奢极欲 骄奢淫佚 花天酒地 铺张浪费 穷奢极侈
艰辛	悠闲 安逸 安闲 安适
艰难	恬适 安适 安逸 容易 闲舒 轻易 舒服
艰难曲折	火上加油
艰难竭蹶	家给人足
艰难险阻	一路平安 无往不利 一帆风顺 万事亨通
色佳天下	豹头环眼
色彩单一	五光十色
色绝天下	豹头环眼
色飞眉舞	愁眉不展
艳	素
艳丽	素淡 素净 素雅 丑陋 丑恶 难看 朴素
艳如桃花	豹头环眼
节	费
节上生枝	必不可少
节俭	奢侈 糜费 挥霍 豪奢 铺张 浪费
节流	开源 浪费
节省	糟蹋 奢侈 耗费 浪费 糟塌
节约	糟蹋 奢侈 耗费 浪费 糟塌
节节失利	风声鹤唳
节节胜利	节节败退
节节败退	节节失利
节衣缩食	铺张浪费
芒刺在背	心怀舒畅 泰然自若 悠然自得 若无其事 悠悠自得
芒刺在背	袒自若
芒刺在身	处之泰然
芝兰之室	鲍鱼之肆
芬芳	恶臭 腐臭
芬芳扑鼻	臭不可当
芬芳馥郁	臭不可当
花	攒
花信年华	迟暮之年
花天酒地	艰苦卓绝 克勤克俭 艰苦奋斗 节衣缩食 面壁下帷 艰苦朴素 筚路蓝缕
花天酒地	面壁下帷
花好月圆	风流云散
花好月圆	风流云散 花残月缺
花容月貌	其貌不扬 貌若无盐 獐头鼠目 面目可憎
花容月貌	貌若无盐
花容玉貌	豹头环眼
花明柳暗	道尽途穷
花枝招展	朴实大方 朴实无华
花样翻新	老调重弹
花残月缺	花好月圆
花烛夫妻	半路夫妻
花花公子	白面书生
花花搭搭	密密层层
花草茸茸	百花凋零
花言巧语	良药苦口
花言巧辞	恶言恶语
花颜月貌	豹头环眼
芳华虚度	晨炊星饭
芳香	恶臭 腐臭
芸芸众生	超凡入圣
芸芸众生	达官贵人 超尘拔俗 超群绝伦 风流人物 皇亲国戚 衮衮诸公
苍狗白云	千篇一律
苍生涂炭	鼓腹而游
苍翠欲滴	残枝败叶
苍老	年青 矍铄 稚气 年轻 年少 青春
苏醒	沉溺 昏睡 昏厥 晕厥 睡眠 昏迷 沉睡
苗条	肥胖 丰腴 臃肿 粗壮
苗而不实	大器晚成
苗而不秀	大器晚成
苛待	优待 姑息
苛捐杂税	轻徭薄赋
苛求于人	反求诸己
苟且偷安	发愤图强
苟且偷生	杀身成仁
苟全性命	宁死不屈
苟合取容	柴立不阿
苟延残喘	视死如归
若不胜衣	拔海荡山
若出一吻	纷纷不一
若出一辙	不啻天地
若即若离	亲密无间
若敖之鬼	儿女成行
若敖鬼馁	儿女成行
若无其事	作贼心虚
若有所失	若无其事
